LogMessage,class
POST ticket-statuses/create 429 1462ms user=35 ip=10.64.148.12 ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,Noise
InvalidArgumentException: View [filament.pages.dashboard-widgets] not found.,Error
"InvalidArgumentException: Expected valid config value for database.connections.mysql.host, received []",CONFIGURATION
TransportException: Microsoft Graph sendMail failed with status 401: invalid_grant,CONFIGURATION
LogicException: Route [filament.resources.permissions.edit] not defined.,Error
"Transaction: update `notifications` set `updated_at` = ?, `status_id` = ? where `id` = ?",Noise
DELETE projects 204 183ms user=5 ip=10.163.159.155 ua=curl/8.7.1,Noise
RuntimeException: Missing required environment variable CACHE_STORE,CONFIGURATION
QueryException: SQLSTATE[HY000] [2002] Connection refused (10.31.218.164:6379),SYSTEM
QueryException: SQLSTATE[HY000] [2002] Connection refused (10.4.29.53:3306),SYSTEM
QueryException: SQLSTATE[HY000] [2002] Connection refused (10.23.162.60:6379),SYSTEM
BadMethodCallException: Method Filament\Tables\Columns\Forms\Components\TextInput::mask does not exist.,Error
ErrorException: Undefined variable $statuses in view dashboard,Error
TransportException: Microsoft Graph sendMail failed with status 422: invalid_client,CONFIGURATION
ErrorException: file_put_contents(storage/logs/laravel-2026-05-01.log): Failed to open stream: Permission denied,SYSTEM
ErrorException: file_put_contents(storage/logs/laravel-2026-05-13.log): Failed to open stream: Permission denied,SYSTEM
GET tickets 200 640ms user=67 ip=10.46.106.166 ua=Symfony,Noise
RuntimeException: Required configuration value OIDC_REDIRECT_URI is empty,CONFIGURATION
PUT tickets/82/edit 422 1131ms user=7 ip=10.25.57.89 ua=Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36,Noise
RuntimeException: Queue worker exceeded memory limit of 352 MB,SYSTEM
"ErrorException: Attempt to read property ""guard_name"" on null while rendering RoleResource for /roles",Error
Fatal error: Allowed memory size of 6442450944 bytes exhausted (tried to allocate 1048576 bytes) in /var/www/html/vendor/laravel/framework/src/Illuminate/Support/Collection.php:212,SYSTEM
POST settings/general 429 982ms user=7 ip=10.24.128.12 ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,Noise
Artisan command: queue:failed,SYSTEM
"InvalidArgumentException: Expected valid config value for services.outlook_mail.client_id, received ""eighty""",CONFIGURATION
RuntimeException: Required service configuration missing: logging.default,CONFIGURATION
QueryException: SQLSTATE[HY000] [2002] Connection refused (10.14.99.183:33060),SYSTEM
"ParseError: syntax error, unexpected token ""match"" in ActivityResource.php:185",Error
QueryException: SQLSTATE[HY000] [2002] Connection refused (10.6.43.79:33060),SYSTEM
QueryException: SQLSTATE[HY000] [2002] Connection refused (10.9.64.118:3307),SYSTEM
TransportException: Microsoft Graph sendMail failed with status 401: invalid_client,CONFIGURATION
PATCH settings/general 404 834ms user=3 ip=10.82.190.78 ua=Symfony,Noise
InvalidArgumentException: View [filament.resources.activity.timeline] not found.,Error
"Transaction: insert into `tickets` (`created_at`, `updated_at`, `name`) values (?, ?, ?)",Noise
RuntimeException: Required configuration value APP_FORCE_HTTPS is empty,CONFIGURATION
DELETE api/fake 403 503ms user=48 ip=10.43.99.155 ua=curl/8.7.1,Noise
ErrorException: file_put_contents(storage/logs/laravel-2026-05-05.log): Failed to open stream: Read-only file system,SYSTEM
RuntimeException: Required configuration value OUTLOOK_MAIL_CLIENT_ID is empty,CONFIGURATION
ErrorException: file_put_contents(storage/logs/laravel-2026-05-14.log): Failed to open stream: Read-only file system,SYSTEM
GET roles 304 720ms user=23 ip=10.16.36.56 ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,Noise
QueryException: SQLSTATE[HY000] [2002] Connection refused (10.15.106.196:6379),SYSTEM
DELETE projects/42/edit 500 583ms user=4 ip=10.13.29.45 ua=Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36,Noise
RuntimeException: Required configuration value DB_USERNAME is empty,CONFIGURATION
ErrorException: Undefined variable $timeline in view dashboard,Error
PATCH api/fake 503 69ms user=25 ip=10.97.5.133 ua=Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36,Noise
ErrorException: file_put_contents(storage/logs/laravel-2026-05-11.log): Failed to open stream: Read-only file system,SYSTEM
RuntimeException: Required service configuration missing: services.oidc.redirect_uri,CONFIGURATION
Artisan command: queue:restart,SYSTEM
Fatal error: Allowed memory size of 4294967296 bytes exhausted (tried to allocate 8388608 bytes) in /var/www/html/vendor/laravel/framework/src/Illuminate/Support/Collection.php:201,SYSTEM
QueryException: SQLSTATE[HY000] [2002] Connection refused (10.19.134.8:6379),SYSTEM
BadMethodCallException: Method Filament\Tables\Columns\Forms\Components\Repeater::badge does not exist.,Error
"ErrorException: Attempt to read property ""status"" on null while rendering TicketResource for /tickets",Error
BadMethodCallException: Method Filament\Tables\Columns\Tables\Columns\BadgeColumn::statePath does not exist.,Error
DELETE users/create 204 1393ms user=64 ip=10.33.149.45 ua=Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36,Noise
GET tickets/82/edit 304 845ms user=61 ip=10.21.121.1 ua=Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36,Noise
GET admin 200 1005ms user=46 ip=10.181.201.1 ua=Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36,Noise
RuntimeException: Missing required environment variable AZURE_CLIENT_ID,CONFIGURATION
GET livewire/message/tickets 304 480ms user=9 ip=10.106.26.166 ua=Symfony,Noise
QueryException: SQLSTATE[HY000] [2002] Connection refused (10.28.197.125:3306),SYSTEM
Transaction: delete from `personal_access_tokens` where `id` = ? and `deleted_at` is null,Noise
DELETE ticket-statuses/create 204 1028ms user=12 ip=10.118.54.210 ua=Symfony,Noise
TransportException: Microsoft Graph sendMail failed with status 403: consent_required,CONFIGURATION
PUT login 200 366ms user=29 ip=10.40.92.144 ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,Noise
PUT roles/7/edit 200 491ms user=guest ip=10.45.177.89 ua=Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36,Noise
OutOfBoundsException: Undefined array key: missing_config,Error
LengthException: Ticket title exceeded maximum allowed length,Error
InvalidArgumentException: View [components.ticket-priority] not found.,Error
Fatal error: Allowed memory size of 805306368 bytes exhausted (tried to allocate 4194304 bytes) in /var/www/html/vendor/laravel/framework/src/Illuminate/Support/Collection.php:146,SYSTEM
"ParseError: syntax error, unexpected token ""readonly"" in TicketTypeResource.php:66",Error
Fatal error: Allowed memory size of 268435456 bytes exhausted (tried to allocate 8388608 bytes) in /var/www/html/vendor/laravel/framework/src/Illuminate/Support/Collection.php:113,SYSTEM
LogicException: Route [filament.resources.roles.index] not defined.,Error
RuntimeException: Missing required environment variable BROADCAST_CONNECTION,CONFIGURATION
"TypeError: App\Filament\Resources\TextColumn::formatDateTime(): Argument #1 must be of type DateTimeInterface, string given",Error
"ErrorException: Attempt to read property ""name"" on null while rendering ProjectResource for /projects",Error
"ParseError: syntax error, unexpected token ""yield"" in ProjectStatusResource.php:49",Error
DELETE admin 204 423ms user=19 ip=10.73.169.45 ua=Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36,Noise
GET livewire/message/app.filament.widgets.tickets-by-priority 405 1405ms user=45 ip=10.31.71.111 ua=curl/8.7.1,Noise
InvalidArgumentException: View [forms.components.oidc-preview] not found.,Error
ErrorException: file_put_contents(storage/logs/laravel-2026-05-10.log): Failed to open stream: Permission denied,SYSTEM
RuntimeException: Required service configuration missing: services.outlook_mail.client_id,CONFIGURATION
POST api/fake 201 217ms user=29 ip=10.39.163.67 ua=curl/8.7.1,Noise
RuntimeException: Missing required environment variable OIDC_SCOPE,CONFIGURATION
PATCH tickets/82/edit 503 1279ms user=11 ip=10.187.215.23 ua=curl/8.7.1,Noise
RuntimeException: Required service configuration missing: cache.default,CONFIGURATION
"ParseError: syntax error, unexpected token ""fn"" in TicketStatusResource.php:121",Error
Fatal error: Allowed memory size of 1610612736 bytes exhausted (tried to allocate 1048576 bytes) in /var/www/html/vendor/laravel/framework/src/Illuminate/Support/Collection.php:168,SYSTEM
ErrorException: file_put_contents(storage/logs/laravel-2026-05-18.log): Failed to open stream: No space left on device,SYSTEM
RuntimeException: SMTP mailer is missing required option MAIL_PASSWORD,CONFIGURATION
BadMethodCallException: Method Filament\Tables\Columns\Infolists\Components\TextEntry::sortable does not exist.,Error
InvalidArgumentException: View [filament.resources.project.timeline] not found.,Error
ErrorException: Undefined variable $columns in view dashboard,Error
"TypeError: App\Filament\Resources\TicketPolicy::resolveOwner(): Argument #1 must be of type App\Models\User, null given",Error
GET login 405 80ms user=10 ip=10.36.156.56 ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,Noise
RuntimeException: Required service configuration missing: services.oidc.url_authorize,CONFIGURATION
"TypeError: App\Filament\Resources\TicketTimeLogged::calculateTotalHours(): Argument #1 must be of type float, string given",Error
RuntimeException: Required configuration value OIDC_URL_RESOURCE_OWNER_DETAILS is empty,CONFIGURATION
PUT projects 400 1051ms user=51 ip=10.55.127.199 ua=curl/8.7.1,Noise
QueryException: SQLSTATE[HY000] [2002] Connection refused (10.1.8.14:3307),SYSTEM
"ErrorException: Attempt to read property ""email"" on null while rendering UserResource for /users",Error
"TypeError: App\Filament\Resources\EditTicket::mount(): Argument #1 must be of type App\Models\Ticket, App\Models\Project given",Error
InvalidArgumentException: View [filament.resources.ticket.summary] not found.,Error
"ParseError: syntax error, unexpected token ""private"" in TimesheetResource.php:88",Error
Fatal error: Allowed memory size of 3221225472 bytes exhausted (tried to allocate 4194304 bytes) in /var/www/html/vendor/laravel/framework/src/Illuminate/Support/Collection.php:190,SYSTEM
"ErrorException: Attempt to read property ""sprint"" on null while rendering ProjectResource for /projects",Error
DELETE logs-report 403 1473ms user=20 ip=10.3.79.155 ua=curl/8.7.1,Noise
DELETE roles 403 868ms user=27 ip=10.178.194.210 ua=Symfony,Noise
ErrorException: Undefined variable $sprints in view dashboard,Error
ModelNotFoundException: No query results for model [App\Models\TicketStatus] 2209,Error
ModelNotFoundException: No query results for model [App\Models\User] 6608,Error
RangeException: Ticket priority order outside allowed range,Error
RuntimeException: Required configuration value DB_DATABASE is empty,CONFIGURATION
"Transaction: insert into `ticket_statuses` (`created_at`, `updated_at`, `name`) values (?, ?, ?)",Noise
POST tickets 429 1222ms user=21 ip=10.154.138.122 ua=Symfony,Noise
ErrorException: file_put_contents(storage/logs/laravel-2026-05-19.log): Failed to open stream: Permission denied,SYSTEM
"LogicException: OIDC provider option ""urlResourceOwnerDetails"" resolved to an empty value",CONFIGURATION
BadMethodCallException: Method Filament\Tables\Columns\Forms\Components\DatePicker::numeric does not exist.,Error
"LogicException: OIDC provider option ""clientSecret"" resolved to an empty value",CONFIGURATION
PUT roles 422 286ms user=73 ip=10.70.162.34 ua=Symfony,Noise
RuntimeException: Queue worker exceeded memory limit of 384 MB,SYSTEM
"Transaction: update `projects` set `updated_at` = ?, `status_id` = ? where `id` = ?",Noise
POST logs-report 201 457ms user=43 ip=10.169.173.177 ua=Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36,Noise
RuntimeException: Required configuration value BROADCAST_CONNECTION is empty,CONFIGURATION
Fatal error: Allowed memory size of 134217728 bytes exhausted (tried to allocate 2097152 bytes) in /var/www/html/vendor/laravel/framework/src/Illuminate/Support/Collection.php:91,SYSTEM
InvalidArgumentException: View [tables.columns.ticket-owner] not found.,Error
ModelNotFoundException: No query results for model [App\Models\Project] 7704,Error
"Transaction: insert into `roles` (`created_at`, `updated_at`, `name`) values (?, ?, ?)",Noise
RuntimeException: Missing required environment variable SESSION_DOMAIN,CONFIGURATION
"InvalidArgumentException: Expected valid config value for cache.default, received ""enabled""",CONFIGURATION
"ErrorException: Attempt to read property ""type"" on null while rendering TicketTypeResource for /ticket-types",Error
RuntimeException: Missing required environment variable AZURE_TENANT_ID,CONFIGURATION
GET users/create 200 1245ms user=60 ip=10.91.211.111 ua=curl/8.7.1,Noise
RuntimeException: Queue worker exceeded memory limit of 208 MB,SYSTEM
Artisan command: view:cache,SYSTEM
QueryException: SQLSTATE[HY000] [2002] Connection refused (10.5.36.66:3307),SYSTEM
ErrorException: Undefined variable $priorities in view dashboard,Error
QueryException: SQLSTATE[HY000] [2002] Connection refused (10.21.148.34:3307),SYSTEM
ErrorException: file_put_contents(storage/logs/laravel-2026-05-16.log): Failed to open stream: Permission denied,SYSTEM
RuntimeException: Queue worker exceeded memory limit of 176 MB,SYSTEM
GET api/fake 304 1085ms user=2 ip=10.151.131.111 ua=curl/8.7.1,Noise
DELETE users 500 1188ms user=70 ip=10.58.134.210 ua=Symfony,Noise
"TypeError: App\Filament\Resources\Action::evaluate(): Argument #1 must be of type Closure, bool given",Error
"Transaction: update `ticket_priorities` set `updated_at` = ?, `status_id` = ? where `id` = ?",Noise
RuntimeException: Required configuration value LOG_CHANNEL is empty,CONFIGURATION
TransportException: Microsoft Graph sendMail failed with status 400: invalid_client,CONFIGURATION
RuntimeException: Missing required environment variable FILESYSTEM_DISK,CONFIGURATION
"InvalidArgumentException: Expected valid config value for database.connections.mysql.port, received false",CONFIGURATION
RuntimeException: Required configuration value OIDC_CLIENT_ID is empty,CONFIGURATION
ErrorException: file_put_contents(storage/logs/laravel-2026-05-04.log): Failed to open stream: Permission denied,SYSTEM
ErrorException: Undefined variable $record in view dashboard,Error
"TypeError: App\Filament\Resources\PanelProvider::buildNavigation(): Argument #1 must be of type Traversable, array given",Error
InvalidArgumentException: View [filament.resources.timesheet.summary] not found.,Error
RuntimeException: Queue worker exceeded memory limit of 128 MB,SYSTEM
ErrorException: Undefined variable $assignees in view dashboard,Error
Fatal error: Allowed memory size of 201326592 bytes exhausted (tried to allocate 4194304 bytes) in /var/www/html/vendor/laravel/framework/src/Illuminate/Support/Collection.php:102,SYSTEM
RuntimeException: Queue worker exceeded memory limit of 192 MB,SYSTEM
"ParseError: syntax error, unexpected token ""endforeach"" in RoleResource.php:93",Error
"TypeError: App\Filament\Resources\LatestTickets::summarizeTickets(): Argument #1 must be of type Illuminate\Support\Collection, array given",Error
RuntimeException: Required configuration value APP_KEY is empty,CONFIGURATION
PATCH roles 503 434ms user=guest ip=10.12.100.188 ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,Noise
GET settings/general 200 400ms user=53 ip=10.136.96.56 ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,Noise
Mail configuration error: missing MAIL_PORT,CONFIGURATION
InvalidArgumentException: View [filament.resources.role.permissions] not found.,Error
RuntimeException: Required configuration value S3_BUCKET is empty,CONFIGURATION
"Mail configuration error: missing MAIL_HOST, MAIL_PORT",CONFIGURATION
POST users/create 429 377ms user=guest ip=10.199.23.67 ua=curl/8.7.1,Noise
TransportException: Microsoft Graph sendMail failed with status 403: unauthorized_client,CONFIGURATION
QueryException: SQLSTATE[HY000] [2002] Connection refused (10.22.155.47:33060),SYSTEM
GET does-not-exist 405 560ms user=38 ip=10.76.176.56 ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,Noise
DELETE roles/7/edit 500 343ms user=63 ip=10.103.19.155 ua=curl/8.7.1,Noise
Fatal error: Allowed memory size of 402653184 bytes exhausted (tried to allocate 1048576 bytes) in /var/www/html/vendor/laravel/framework/src/Illuminate/Support/Collection.php:124,SYSTEM
QueryException: SQLSTATE[HY000] [2002] Connection refused (10.13.92.170:3307),SYSTEM
QueryException: SQLSTATE[HY000] [2002] Connection refused (10.18.127.235:33060),SYSTEM
Mail configuration error: missing MAIL_PASSWORD,CONFIGURATION
GET roles/7/edit 405 925ms user=17 ip=10.211.51.111 ua=curl/8.7.1,Noise
"ParseError: syntax error, unexpected token ""::"" in ActivityResource.php:155",Error
"Transaction: update `activities` set `updated_at` = ?, `status_id` = ? where `id` = ?",Noise
BadMethodCallException: Method Filament\Tables\Columns\Tables\Columns\TextColumn::relationship does not exist.,Error
DELETE tickets 204 788ms user=71 ip=10.208.44.100 ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,Noise
InvalidArgumentException: View [filament.resources.user.audit] not found.,Error
"ErrorException: Attempt to read property ""priority"" on null while rendering TicketPriorityResource for /ticket-priorities",Error
GET projects 200 35ms user=guest ip=10.1.1.1 ua=Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36,Noise
RuntimeException: Missing required environment variable VITE_APP_NAME,CONFIGURATION
LogicException: Route [filament.resources.ticket-priorities.view] not defined.,Error
RuntimeException: Queue worker exceeded memory limit of 112 MB,SYSTEM
RuntimeException: Required configuration value AZURE_CLIENT_ID is empty,CONFIGURATION
ErrorException: file_put_contents(storage/logs/laravel-2026-05-09.log): Failed to open stream: No space left on device,SYSTEM
POST roles 201 1302ms user=50 ip=10.124.68.12 ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,Noise
RuntimeException: Required configuration value FILESYSTEM_DISK is empty,CONFIGURATION
RuntimeException: Missing required environment variable LOG_CHANNEL,CONFIGURATION
BadMethodCallException: Method Filament\Tables\Columns\Tables\Actions\BulkAction::schema does not exist.,Error
BadMethodCallException: Method Filament\Tables\Columns\Tables\Columns\IconColumn::searchable does not exist.,Error
RuntimeException: Required configuration value SANCTUM_STATEFUL_DOMAINS is empty,CONFIGURATION
QueryException: SQLSTATE[HY000] [2002] Connection refused (10.7.50.92:6379),SYSTEM
"LogicException: OIDC provider option ""urlAccessToken"" resolved to an empty value",CONFIGURATION
PATCH users 302 754ms user=47 ip=10.112.40.188 ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,Noise
RuntimeException: Required service configuration missing: queue.default,CONFIGURATION
QueryException: SQLSTATE[HY000] [2002] Connection refused (10.30.211.151:33060),SYSTEM
RuntimeException: Required service configuration missing: mail.mailers.smtp.port,CONFIGURATION
RuntimeException: Missing required environment variable SANCTUM_STATEFUL_DOMAINS,CONFIGURATION
RuntimeException: SMTP mailer is missing required option MAIL_USERNAME,CONFIGURATION
RuntimeException: Required configuration value APP_URL is empty,CONFIGURATION
DivisionByZeroError: Division by zero while calculating ticket completion ratio,Error
Artisan command: migrate:rollback,SYSTEM
RuntimeException: Required service configuration missing: filesystems.default,CONFIGURATION
RuntimeException: Required service configuration missing: app.url,CONFIGURATION
BadMethodCallException: Method Filament\Tables\Columns\TextColumn::badgeColor does not exist.,Error
QueryException: SQLSTATE[HY000] [2002] Connection refused (10.33.232.190:3307),SYSTEM
RuntimeException: Missing required environment variable DB_DATABASE,CONFIGURATION
RuntimeException: Queue worker exceeded memory limit of 224 MB,SYSTEM
"LogicException: OIDC provider option ""urlAuthorize"" resolved to an empty value",CONFIGURATION
"TypeError: App\Filament\Resources\RoleResource::authorizeAccess(): Argument #1 must be of type Illuminate\Database\Eloquent\Model, stdClass given",Error
TransportException: Microsoft Graph sendMail failed with status 403: invalid_grant,CONFIGURATION
RuntimeException: Required configuration value OIDC_SCOPE is empty,CONFIGURATION
"Mail configuration error: missing MAIL_PORT, MAIL_USERNAME, MAIL_PASSWORD",CONFIGURATION
QueryException: SQLSTATE[HY000] [2002] Connection refused (10.3.22.40:6379),SYSTEM
"InvalidArgumentException: Expected valid config value for services.oidc.redirect_uri, received array",CONFIGURATION
ErrorException: Undefined variable $filters in view dashboard,Error
POST users 401 172ms user=20 ip=10.4.8.12 ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,Noise
RuntimeException: Required configuration value VITE_APP_NAME is empty,CONFIGURATION
"ErrorException: Attempt to read property ""label"" on null while rendering TicketStatusResource for /ticket-statuses",Error
BadMethodCallException: Method Filament\Tables\Columns\Forms\Components\Select::badgeColor does not exist.,Error
PUT admin 400 571ms user=23 ip=10.15.107.199 ua=curl/8.7.1,Noise
POST livewire/message/tickets 201 1062ms user=36 ip=10.214.58.122 ua=Symfony,Noise
Artisan command: migrate,SYSTEM
ErrorException: file_put_contents(storage/logs/laravel-2026-05-06.log): Failed to open stream: No space left on device,SYSTEM
RuntimeException: Required configuration value MAIL_PORT is empty,CONFIGURATION
PUT tickets 400 206ms user=guest ip=10.100.12.144 ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,Noise
"ParseError: syntax error, unexpected token ""endif"" in UserResource.php:116",Error
"ErrorException: Attempt to read property ""owner"" on null while rendering TicketResource for /tickets",Error
"Mail configuration error: missing MAIL_HOST, MAIL_PORT, MAIL_USERNAME",CONFIGURATION
"InvalidArgumentException: Expected valid config value for app.force_https, received string",CONFIGURATION
QueryException: SQLSTATE[HY000] [2002] Connection refused (10.20.141.21:3306),SYSTEM
POST admin 429 857ms user=42 ip=10.19.43.67 ua=curl/8.7.1,Noise
GET projects/42/edit 405 1165ms user=31 ip=10.121.61.1 ua=Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36,Noise
ErrorException: file_put_contents(storage/logs/laravel-2026-05-07.log): Failed to open stream: Permission denied,SYSTEM
GET users 405 320ms user=guest ip=10.166.166.166 ua=Symfony,Noise
TransportException: Microsoft Graph sendMail failed with status 400: invalid_grant,CONFIGURATION
InvalidArgumentException: View [emails.ticket-status] not found.,Error
QueryException: SQLSTATE[HY000] [2002] Connection refused (10.12.85.157:3306),SYSTEM
QueryException: SQLSTATE[HY000] [2002] Connection refused (10.27.190.112:6379),SYSTEM
Artisan command: config:cache,SYSTEM
ErrorException: file_put_contents(storage/logs/laravel-2026-05-03.log): Failed to open stream: No space left on device,SYSTEM
QueryException: SQLSTATE[HY000] [2002] Connection refused (10.17.120.222:3307),SYSTEM
RuntimeException: Missing required environment variable APP_FORCE_HTTPS,CONFIGURATION
RuntimeException: Required service configuration missing: database.connections.mysql.host,CONFIGURATION
DELETE login 500 948ms user=56 ip=10.148.124.100 ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,Noise
QueryException: SQLSTATE[HY000] [2002] Connection refused (10.10.71.131:33060),SYSTEM
PATCH projects 404 1199ms user=55 ip=10.217.65.133 ua=Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36,Noise
"InvalidArgumentException: Expected valid config value for queue.default, received object",CONFIGURATION
RuntimeException: Required configuration value SESSION_DOMAIN is empty,CONFIGURATION
ErrorException: Undefined variable $tickets in view dashboard,Error
Transaction: delete from `ticket_comments` where `id` = ? and `deleted_at` is null,Noise
PATCH ticket-statuses/create 404 594ms user=62 ip=10.172.180.188 ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,Noise
RuntimeException: Required configuration value OIDC_URL_AUTHORIZE is empty,CONFIGURATION
RuntimeException: Required configuration value REDIS_PORT is empty,CONFIGURATION
PUT users/create 400 811ms user=37 ip=10.145.117.89 ua=Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36,Noise
TransportException: Microsoft Graph sendMail failed with status 422: invalid_scope,CONFIGURATION
ErrorException: file_put_contents(storage/logs/laravel-2026-05-21.log): Failed to open stream: No space left on device,SYSTEM
PUT ticket-statuses/create 400 446ms user=58 ip=10.10.22.34 ua=Symfony,Noise
RuntimeException: Missing required environment variable QUEUE_CONNECTION,CONFIGURATION
ErrorException: Undefined variable $comments in view dashboard,Error
RuntimeException: Queue worker exceeded memory limit of 320 MB,SYSTEM
"TypeError: App\Filament\Resources\ProjectResource::resolveRecord(): Argument #1 must be of type int, null given",Error
"ParseError: syntax error, unexpected token "";"" in PermissionResource.php:74",Error
RuntimeException: Queue worker exceeded memory limit of 240 MB,SYSTEM
ModelNotFoundException: No query results for model [App\Models\Activity] 3105,Error
"Mail configuration error: missing MAIL_HOST, MAIL_USERNAME, MAIL_PASSWORD",CONFIGURATION
QueryException: SQLSTATE[HY000] [2002] Connection refused (10.8.57.105:3306),SYSTEM
