LogMessage,class
PATCH projects 200 540ms user=3 ip=10.1.93.185 ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,Noise
GET livewire/message/app.filament.widgets.tickets-by-priority 201 826ms user=1 ip=10.61.177.183 ua=Symfony,Noise
PUT does-not-exist 304 1390ms user=1 ip=10.21.213.215 ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,Noise
DELETE roles 201 1543ms user=76 ip=10.36.50.134 ua=curl/8.7.1,Noise
DELETE tickets 200 1241ms user=20 ip=10.86.212.48 ua=Symfony,Noise
PATCH projects/101/edit 304 889ms user=64 ip=10.96.134.132 ua=Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36,Noise
RuntimeException: Queue worker stopped after exceeding memory limit of 128 MB,SYSTEM
Transaction: delete from `users` where `id` = ? and `deleted_at` is null,Noise
GET settings/general 503 338ms user=35 ip=10.131.45.219 ua=curl/8.7.1,Noise
GET livewire/message/app.filament.widgets.tickets-by-priority 422 1277ms user=38 ip=10.176.16.206 ua=Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36,Noise
RuntimeException: Cannot call refresh on a model that has not been saved,Error
"Transaction: insert into `projects` (`created_at`, `updated_at`, `name`) values (?, ?, ?)",Noise
GET users/create 304 673ms user=22 ip=10.46.110.34 ua=curl/8.7.1,Noise
InvalidArgumentException: Configuration value S3_BUCKET cannot be blank,CONFIGURATION
PATCH logs-report 405 1400ms user=77 ip=10.121.123.135 ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,Noise
InvalidArgumentException: Configuration value OIDC_URL_ACCESS_TOKEN cannot be blank,CONFIGURATION
GET login 405 1138ms user=37 ip=10.111.155.189 ua=curl/8.7.1,Noise
"InvalidArgumentException: Provider option ""scopes"" must not be empty",CONFIGURATION
"Transaction: update `password_reset_tokens` set `updated_at` = ?, `status_id` = ? where `id` = ?",Noise
PATCH ticket-priorities 200 331ms user=46 ip=10.156.172.38 ua=Symfony,Noise
InvalidArgumentException: Configuration value MAIL_PORT cannot be blank,CONFIGURATION
POST logs-report 400 527ms user=32 ip=10.6.146.66 ua=Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36,Noise
"Transaction: insert into `sessions` (`created_at`, `updated_at`, `name`) values (?, ?, ?)",Noise
RuntimeException: Configuration key OIDC_REDIRECT_URI was not loaded,CONFIGURATION
QueryException: SQLSTATE[HY000] [2002] Connection refused (172.16.118.22:6379),SYSTEM
POST users 204 225ms user=72 ip=10.56.78.210 ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,Noise
RuntimeException: Configuration key DB_USERNAME was not loaded,CONFIGURATION
"UnexpectedValueException: Invalid configuration value for logging.channels.stack.channels: ""single""",CONFIGURATION
PUT users/create 429 414ms user=69 ip=10.161.179.57 ua=Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36,Noise
GET settings/general 403 952ms user=31 ip=10.131.91.81 ua=Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36,Noise
PUT projects 401 1576ms user=7 ip=10.1.47.93 ua=Symfony,Noise
PATCH activities 201 587ms user=8 ip=10.146.66.46 ua=Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36,Noise
GET login 204 1397ms user=86 ip=10.226.86.166 ua=Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36,Noise
POST ticket-priorities 429 1108ms user=1 ip=10.41.195.199 ua=curl/8.7.1,Noise
RuntimeException: Queue worker stopped after exceeding memory limit of 184 MB,SYSTEM
DELETE roles 200 1380ms user=21 ip=10.151.73.65 ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,Noise
GET projects 200 22ms user=guest ip=10.1.1.1 ua=Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36,Noise
GET tickets/205/edit 302 557ms user=68 ip=10.76.106.56 ua=Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36,Noise
POST users 200 62ms user=17 ip=10.171.101.141 ua=Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36,Noise
PUT filament/assets/echo.js 200 902ms user=35 ip=10.91.81.21 ua=Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36,Noise
PATCH tickets/205/edit 304 912ms user=15 ip=10.191.221.171 ua=Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36,Noise
GET ticket-priorities 201 849ms user=48 ip=10.156.34.222 ua=Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36,Noise
RuntimeException: SMTP transport configuration is missing MAIL_HOST,CONFIGURATION
GET projects/create 304 1151ms user=8 ip=10.106.102.78 ua=Symfony,Noise
PATCH roles 401 1121ms user=68 ip=10.36.142.88 ua=Symfony,Noise
InvalidArgumentException: Configuration value MAIL_HOST cannot be blank,CONFIGURATION
PATCH logs-report 429 1563ms user=36 ip=10.6.100.204 ua=curl/8.7.1,Noise
RuntimeException: Configuration key MAIL_PASSWORD was not loaded,CONFIGURATION
DELETE tickets 503 1078ms user=61 ip=10.201.5.209 ua=curl/8.7.1,Noise
RuntimeException: Queue worker stopped after exceeding memory limit of 200 MB,SYSTEM
GET logs-report 200 1141ms user=28 ip=10.6.192.158 ua=Symfony,Noise
Transaction: delete from `sessions` where `id` = ? and `deleted_at` is null,Noise
ModelNotFoundException: No query results for model [App\Models\User] 7109,Error
POST api/fake 200 1387ms user=guest ip=10.126.176.16 ua=Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36,Noise
RuntimeException: Queue worker stopped after exceeding memory limit of 296 MB,SYSTEM
"RuntimeException: OIDC login cannot start because ""redirectUri"" is not configured",CONFIGURATION
POST tickets 201 109ms user=22 ip=10.86.74.2 ua=Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36,Noise
"TypeError: App\Filament\Resources\Kanban::canAccess(): Argument #1 must be of type bool, string given",Error
"RuntimeException: OIDC login cannot start because ""urlAccessToken"" is not configured",CONFIGURATION
Transaction: delete from `ticket_priorities` where `id` = ? and `deleted_at` is null,Noise
QueryException: SQLSTATE[HY000] [2002] Connection timed out (172.16.44.60:9200),SYSTEM
RuntimeException: Configuration key OUTLOOK_MAIL_REFRESH_TOKEN was not loaded,CONFIGURATION
InvalidArgumentException: Configuration value OUTLOOK_MAIL_REFRESH_TOKEN cannot be blank,CONFIGURATION
DELETE livewire/message/app.filament.widgets.tickets-by-priority 401 404ms user=89 ip=10.61.39.137 ua=Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36,Noise
GET livewire/message/app.filament.widgets.tickets-by-priority 200 663ms user=42 ip=10.176.200.114 ua=curl/8.7.1,Noise
RuntimeException: Queue worker stopped after exceeding memory limit of 152 MB,SYSTEM
GET ticket-priorities 400 72ms user=93 ip=10.41.11.61 ua=Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36,Noise
DELETE projects/create 503 1055ms user=14 ip=10.106.148.170 ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,Noise
PUT ticket-priorities 204 1204ms user=91 ip=10.41.149.107 ua=Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36,Noise
Fatal error: Allowed memory size of 603979776 bytes exhausted (tried to allocate 524288 bytes) in /var/www/html/vendor/laravel/framework/src/Illuminate/View/Factory.php:104,SYSTEM
POST livewire/message/app.filament.widgets.tickets-by-priority 405 922ms user=91 ip=10.61.131.91 ua=Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36,Noise
ErrorException: file_put_contents(storage/framework/cache/data/routes.php): Failed to open stream: Permission denied,SYSTEM
POST ticket-statuses/create 500 1178ms user=53 ip=10.51.25.99 ua=curl/8.7.1,Noise
DELETE users 200 1357ms user=70 ip=10.56.216.26 ua=Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36,Noise
ErrorException: Undefined variable $comments in view tickets.form,Error
"TypeError: App\Filament\Resources\TicketPolicy::authorizeOwner(): Argument #1 must be of type int, string given",Error
InvalidArgumentException: Configuration value DB_USERNAME cannot be blank,CONFIGURATION
InvalidArgumentException: Configuration value DB_PORT cannot be blank,CONFIGURATION
InvalidArgumentException: Configuration value OIDC_SCOPE cannot be blank,CONFIGURATION
"ErrorException: Attempt to read property ""role"" on null in PermissionResource.php",Error
GET tickets/205 500 746ms user=65 ip=10.181.207.133 ua=Symfony,Noise
PUT roles/9/edit 503 600ms user=75 ip=10.141.13.165 ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,Noise
POST roles 204 248ms user=23 ip=10.151.165.19 ua=curl/8.7.1,Noise
RuntimeException: Queue worker stopped after exceeding memory limit of 168 MB,SYSTEM
QueryException: SQLSTATE[HY000] [2002] Connection timed out (172.16.136.56:9200),SYSTEM
ErrorException: Undefined variable $permissions in view tickets.form,Error
DELETE livewire/message/tickets 304 218ms user=83 ip=10.81.205.29 ua=curl/8.7.1,Noise
InvalidArgumentException: Configuration value MAIL_PASSWORD cannot be blank,CONFIGURATION
QueryException: SQLSTATE[HY000] [2002] Connection timed out (172.16.17.9:3306),SYSTEM
QueryException: SQLSTATE[HY000] [08006] server closed the connection unexpectedly (172.16.46.86:6379),SYSTEM
GET ticket-statuses/create 503 1533ms user=96 ip=10.166.140.214 ua=curl/8.7.1,Noise
PUT tickets 403 42ms user=57 ip=10.201.51.71 ua=Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36,Noise
RuntimeException: Queue worker timed out after 45 seconds while processing App\Jobs\ImportJiraTicketsJob,SYSTEM
PATCH roles/9/edit 403 1214ms user=71 ip=10.141.59.27 ua=Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36,Noise
DELETE filament/assets/echo.js 400 288ms user=39 ip=10.91.35.159 ua=curl/8.7.1,Noise
UnexpectedValueException: Hash verification failed while signing ticket attachment URL,Error
GET users 200 1002ms user=27 ip=10.171.101.141 ua=Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36,Noise
GET tickets 401 1337ms user=14 ip=10.86.166.186 ua=Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36,Noise
RuntimeException: Configuration key OIDC_SCOPE was not loaded,CONFIGURATION
GET logs-report 422 105ms user=24 ip=10.6.8.20 ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,Noise
PUT roles 200 670ms user=guest ip=10.151.73.65 ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,Noise
ModelNotFoundException: No query results for model [App\Models\TicketType] 1711,Error
"UnexpectedValueException: Invalid configuration value for session.lifetime: ""forever""",CONFIGURATION
PATCH tickets/205/edit 401 1075ms user=70 ip=10.76.198.10 ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,Noise
RuntimeException: Configuration key OIDC_URL_AUTHORIZE was not loaded,CONFIGURATION
POST api/fake 500 1224ms user=51 ip=10.11.199.177 ua=Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36,Noise
GET projects 200 185ms user=56 ip=10.116.208.70 ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,Noise
GET admin 422 1231ms user=40 ip=10.216.72.128 ua=Symfony,Noise
RuntimeException: Configuration key OUTLOOK_MAIL_CLIENT_ID was not loaded,CONFIGURATION
InvalidArgumentException: Configuration value CACHE_STORE cannot be blank,CONFIGURATION
PATCH projects/101/edit 204 726ms user=9 ip=10.211.157.63 ua=Symfony,Noise
ErrorException: Undefined variable $statuses in view tickets.form,Error
GET livewire/message/tickets 201 1350ms user=81 ip=10.81.113.75 ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,Noise
DELETE activities 429 846ms user=57 ip=10.31.227.23 ua=Symfony,Noise
"Transaction: update `ticket_comments` set `updated_at` = ?, `status_id` = ? where `id` = ?",Noise
RuntimeException: Queue worker timed out after 60 seconds while processing App\Jobs\ImportJiraTicketsJob,SYSTEM
PATCH livewire/message/app.filament.widgets.favorite-projects 500 52ms user=37 ip=10.71.191.221 ua=Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36,Noise
RuntimeException: Queue worker stopped after exceeding memory limit of 120 MB,SYSTEM
POST logs-report 302 364ms user=73 ip=10.121.169.227 ua=Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36,Noise
GET does-not-exist 200 162ms user=9 ip=10.21.121.31 ua=Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36,Noise
QueryException: SQLSTATE[HY000] [08006] server closed the connection unexpectedly (172.16.62.94:6379),SYSTEM
POST livewire/message/app.filament.widgets.favorite-projects 422 992ms user=47 ip=10.71.191.221 ua=Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36,Noise
PUT roles/9/edit 429 437ms user=20 ip=10.26.36.96 ua=Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36,Noise
PUT projects/create 403 1669ms user=10 ip=10.106.194.32 ua=Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36,Noise
PATCH livewire/message/app.filament.widgets.tickets-by-priority 200 308ms user=95 ip=10.61.85.229 ua=curl/8.7.1,Noise
"Transaction: insert into `notifications` (`created_at`, `updated_at`, `name`) values (?, ?, ?)",Noise
"TypeError: App\Filament\Resources\LatestTickets::getTableRecords(): Argument #1 must be of type Countable, null given",Error
Transaction: delete from `tickets` where `id` = ? and `deleted_at` is null,Noise
DELETE does-not-exist 422 776ms user=5 ip=10.21.167.123 ua=Symfony,Noise
POST tickets/205/edit 200 39ms user=66 ip=10.76.14.102 ua=Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36,Noise
PUT projects/101/edit 404 112ms user=13 ip=10.211.111.201 ua=Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36,Noise
GET admin 404 1068ms user=81 ip=10.101.95.59 ua=curl/8.7.1,Noise
GET settings/general 429 175ms user=76 ip=10.16.68.150 ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,Noise
TransportException: Outlook OAuth token request failed with status 400: unsupported_grant_type,CONFIGURATION
QueryException: SQLSTATE[HY000] [2002] Connection refused (172.16.26.26:6379),SYSTEM
DELETE livewire/message/app.filament.widgets.tickets-by-priority 404 567ms user=48 ip=10.176.16.206 ua=Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36,Noise
POST tickets/205/edit 200 1526ms user=11 ip=10.191.37.33 ua=Symfony,Noise
GET tickets/205 200 909ms user=guest ip=10.66.184.202 ua=Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36,Noise
GET settings/general 200 1048ms user=25 ip=10.131.45.219 ua=curl/8.7.1,Noise
DELETE logs-report 204 1659ms user=30 ip=10.6.54.112 ua=Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36,Noise
GET filament/assets/echo.js 200 547ms user=88 ip=10.206.196.136 ua=Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36,Noise
GET api/fake 200 255ms user=12 ip=10.126.38.200 ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,Noise
PATCH livewire/message/tickets 429 1609ms user=34 ip=10.196.44.52 ua=Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36,Noise
GET livewire/message/app.filament.widgets.tickets-by-priority 400 49ms user=46 ip=10.176.154.22 ua=Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36,Noise
PATCH users/create 403 1191ms user=24 ip=10.46.202.218 ua=Symfony,Noise
GET projects 403 281ms user=50 ip=10.116.162.208 ua=Symfony,Noise
PATCH tickets 400 982ms user=67 ip=10.201.51.71 ua=Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36,Noise
"Transaction: update `users` set `updated_at` = ?, `status_id` = ? where `id` = ?",Noise
RuntimeException: Configuration key REDIS_HOST was not loaded,CONFIGURATION
"ParseError: syntax error, unexpected token ""enum"" in RoleResource.php:87",Error
Transaction: delete from `roles` where `id` = ? and `deleted_at` is null,Noise
GET roles 403 929ms user=80 ip=10.36.4.42 ua=Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36,Noise
GET does-not-exist 405 421ms user=58 ip=10.136.52.8 ua=Symfony,Noise
"ErrorException: Attempt to read property ""activity"" on null in ActivityResource.php",Error
POST roles/9/edit 400 504ms user=81 ip=10.141.59.27 ua=Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36,Noise
GET users/create 404 1546ms user=67 ip=10.161.87.103 ua=Symfony,Noise
"ErrorException: Attempt to read property ""hours"" on null in TicketTimeLogged.php",Error
POST livewire/message/tickets 405 899ms user=44 ip=10.196.44.52 ua=Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36,Noise
QueryException: SQLSTATE[HY000] [08006] server closed the connection unexpectedly (172.16.19.35:443),SYSTEM
"Transaction: insert into `ticket_comments` (`created_at`, `updated_at`, `name`) values (?, ?, ?)",Noise
InvalidArgumentException: Configuration value OIDC_CLIENT_SECRET cannot be blank,CONFIGURATION
"InvalidArgumentException: Provider option ""urlAuthorize"" must not be empty",CONFIGURATION
GET users 400 743ms user=74 ip=10.56.170.164 ua=curl/8.7.1,Noise
InvalidArgumentException: Configuration value DB_DATABASE cannot be blank,CONFIGURATION
POST ticket-priorities 405 945ms user=42 ip=10.156.218.130 ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,Noise
GET livewire/message/tickets 500 1417ms user=46 ip=10.196.136.6 ua=Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36,Noise
BadMethodCallException: Method Filament\Forms\Components\ColorPicker::alphaSlider does not exist.,Error
PATCH ticket-priorities 200 494ms user=5 ip=10.41.149.107 ua=Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36,Noise
"Transaction: insert into `users` (`created_at`, `updated_at`, `name`) values (?, ?, ?)",Noise
PATCH filament/assets/echo.js 500 29ms user=86 ip=10.206.104.182 ua=Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36,Noise
PATCH livewire/message/app.filament.widgets.favorite-projects 200 215ms user=guest ip=10.186.168.60 ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,Noise
GET tickets 500 723ms user=18 ip=10.86.120.94 ua=curl/8.7.1,Noise
GET roles/9/edit 200 955ms user=guest ip=10.26.128.50 ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,Noise
ModelNotFoundException: No query results for model [App\Models\Sprint] 1904,Error
RuntimeException: Queue worker timed out after 180 seconds while processing App\Jobs\ImportJiraTicketsJob,SYSTEM
InvalidArgumentException: Invalid timezone identifier: Moon/Base,Error
ErrorException: file_put_contents(storage/logs/laravel.log): Failed to open stream: No space left on device,SYSTEM
RuntimeException: Configuration key OIDC_URL_ACCESS_TOKEN was not loaded,CONFIGURATION
GET users 503 839ms user=68 ip=10.56.124.72 ua=Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36,Noise
QueryException: SQLSTATE[HY000] [2002] Connection timed out (172.16.109.5:3306),SYSTEM
"InvalidArgumentException: Provider option ""redirectUri"" must not be empty",CONFIGURATION
QueryException: SQLSTATE[HY000] [2002] Connection timed out (172.16.28.52:9200),SYSTEM
PATCH users/create 405 1354ms user=79 ip=10.161.179.57 ua=Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36,Noise
PATCH login 500 1656ms user=39 ip=10.111.17.143 ua=Symfony,Noise
